VX,VY,VZ,X,Y,Z
6.89413392,-3.173629817,0.840219894,-2772.995533,-6293.010147,-1358.758866
7.164724052,-2.459662147,0.986669366,-2099.528556,-6562.872617,-1271.24565
7.359323172,-1.719559449,1.122633288,-1404.384707,-6762.900205,-1170.291325
7.38150432,-1.608437346,1.141749065,-1300.22473,-6786.416123,-1154.291
9.616305626,-1.604136115,1.553863489,-725.1586859,-6896.96956,-1063.345985
9.646885923,-0.908081194,1.653601447,117.4603919,-7006.74665,-923.0279992
9.589901584,-0.189617496,1.740200857,1004.296953,-7057.117716,-766.5380815
9.44584994,0.51102464,1.808312742,1903.759441,-7041.587639,-598.8197475
9.214180423,1.196800072,1.858234735,2838.137286,-6955.581518,-415.1555198
8.893841584,1.860055782,1.888740518,3819.040131,-6789.310503,-212.0911256
8.536967287,2.418657373,1.898357817,4732.293779,-6564.495889,-13.58681293
8.161955727,2.886820218,1.892408288,5587.385508,-6292.229815,180.604668
7.770393825,3.287721859,1.874320336,6413.918654,-5971.317013,376.0937256
7.364019883,3.633060614,1.84599832,7227.84341,-5598.498286,576.2552784
6.945065697,3.929199465,1.808716211,8038.205043,-5169.556713,783.3219602
6.515776334,4.180123143,1.763428653,8850.92202,-4679.204718,999.0949776
6.078329222,4.388538473,1.710904766,9670.098055,-4121.028902,1225.193087
5.634921382,4.556363534,1.651810357,10498.39278,-3487.54583,1463.113281
5.18822841,4.684939927,1.58682124,11336.38114,-2770.936293,1714.013822
4.742109426,4.775309052,1.516790433,12181.18924,-1964.853157,1978.219428
4.301673274,4.828788111,1.44283799,13026.07082,-1066.174884,2254.907097
3.872163162,4.847510798,1.366218316,13862.16293,-74.75684133,2542.463105
3.45712697,4.834385505,1.287977427,14681.90311,1009.953613,2839.568428
3.057948906,4.792465398,1.208781882,15480.15476,2191.558824,3145.761818
2.674577661,4.724416388,1.128981395,16252.99282,3476.991066,3461.253772
2.30617143,4.632283749,1.048696328,16996.42371,4876.411271,3786.677027
1.951694946,4.517492185,0.967927756,17704.92096,6402.34759,4122.700766
1.609906271,4.380801289,0.886549071,18370.90514,8070.578722,4470.053758
1.287242141,4.226319145,0.806299254,18969.68479,9854.815847,4820.647142
0.986950295,4.058139052,0.728327665,19482.66735,11730.04011,5167.68681
0.707428597,3.878062379,0.652581498,19899.88443,13692.67086,5508.854572
0.44695848,3.687280858,0.578904429,20210.37032,15739.50564,5841.699468
0.20405187,3.486618506,0.50713311,20401.38608,17865.28097,6163.166335
-0.022567158,3.276589075,0.437101523,20458.36747,20062.03633,6469.500577
-0.233946932,3.057468553,0.368653582,20364.94396,22318.01479,6756.103616
-0.430936544,2.82931701,0.30164085,20103.1257,24616.8299,7017.455159
-0.614140943,2.592072765,0.235943489,19653.80284,26935.70661,7246.968277
-0.783900134,2.345645768,0.171486657,18997.84226,29243.77498,7436.961667
-0.940276813,2.090030418,0.108257983,18117.98632,31500.57988,7578.808706
-1.083069397,1.825420652,0.046320658,17001.63221,33655.53182,7663.37548
-1.211999674,1.551986169,-0.014251268,15642.56141,35651.30303,7681.796683
-1.326874282,1.269442927,-0.073460471,14040.43422,37428.47127,7626.00787
-1.427633941,0.976463617,-0.131474807,12197.48199,38928.75182,7488.571408
-1.514190547,0.670098881,-0.188675247,10113.88754,40093.43389,7261.614966
-1.586078992,0.345030055,-0.245692362,7782.574865,40856.21179,6934.906404
-1.586378733,0.343455293,-0.245959638,7771.077037,40858.70704,6933.124527
-2.973540201,0.630207228,-0.462859394,7592.737866,40896.91079,6905.41915
-2.981143087,0.587558356,-0.470003118,7009.669596,41016.15147,6814.075496
-2.999285976,0.466813343,-0.489605022,5360.042232,41306.98686,6549.379461
-3.022684277,0.183346878,-0.532087436,1493.670216,41724.41861,5893.407556
-3.01805809,-0.127503262,-0.573094926,-2736.1542,41763.52131,5119.541156
-2.981534657,-0.440032459,-0.608452614,-6978.244933,41362.23789,4284.112438
-2.913298186,-0.74823391,-0.637385517,-11150.89348,40521.12551,3402.24776
-2.814081831,-1.048521622,-0.659545774,-15205.52682,39249.13315,2484.100018
-2.684944372,-1.337668177,-0.674693799,-19098.5618,37559.83062,1539.525236
