time,Cds1,Cds2,ax,ay,az,gx,gy,gz,pitch_f
12:05:05.635,301,356,1.04296875,-0.041015625,-0.036132813,-22.83969466,11.04580153,0.564885496,-0.441164558
12:05:05.711,304,362,1.036621094,-0.017822266,-0.029052734,-22.83969466,11.27480916,0.954198473,-0.343276988
12:05:05.787,304,365,1.038085938,-0.015869141,-0.034179688,-22.71755725,11.61068702,1.816793893,-0.243662926
12:05:05.863,305,367,1.042724609,-0.029541016,-0.02734375,-22.96183206,7.458015267,0.801526718,-0.187884007
12:05:05.939,305,367,1.040527344,-0.012695313,-0.041259766,-22.71755725,3.099236641,1.152671756,-0.175113125
12:05:06.016,305,369,1.040039063,-0.018798828,-0.030273438,-22.71755725,-1.465648855,1.801526718,-0.207267662
12:05:06.092,305,366,1.032958984,-0.017089844,-0.031005859,-22.71755725,-4.519083969,0.511450382,-0.268469331
12:05:06.168,304,367,1.036865234,-0.013916016,-0.042724609,-22.96183206,-4.732824427,1.610687023,-0.329972447
12:05:06.244,305,366,1.032470703,-0.019775391,-0.026123047,-22.83969466,-4.763358779,1.702290076,-0.390688923
12:05:06.320,303,362,1.03515625,-0.014404297,-0.032714844,-22.83969466,-6.015267176,0.358778626,-0.461990699
12:05:06.396,304,363,1.039550781,-0.012939453,-0.036132813,-22.83969466,-6.549618321,1.633587786,-0.53651047
12:05:06.473,302,361,1.041503906,-0.018798828,-0.030517578,-22.71755725,-7.083969466,1.076335878,-0.614886813
12:05:06.549,302,359,1.034912109,-0.019775391,-0.037353516,-22.71755725,-7.885496183,0.534351145,-0.699769734
12:05:06.625,302,356,1.041015625,-0.016601563,-0.042724609,-22.71755725,-8.778625954,1.854961832,-0.791542619
12:05:06.701,302,355,1.041015625,-0.018798828,-0.031005859,-22.59541985,-9.259541985,1.251908397,-0.886287703
12:05:06.777,301,353,1.040283203,-0.016601563,-0.034912109,-22.96183206,-9.977099237,0.534351145,-0.986013939
12:05:06.853,301,351,1.034423828,-0.016845703,-0.032958984,-22.71755725,-10.77099237,2.061068702,-1.091423528
12:05:06.929,301,349,1.036376953,-0.024414063,-0.022705078,-22.59541985,-11.48091603,0.809160305,-1.20242214
12:05:07.006,300,347,1.039306641,-0.018798828,-0.045898438,-22.47328244,-12.21374046,1.022900763,-1.318421726
12:05:07.082,303,345,1.037109375,-0.021240234,-0.021484375,-22.71755725,-13.01526718,1.977099237,-1.440266848
12:05:07.158,302,343,1.035400391,-0.018066406,-0.032714844,-22.59541985,-13.77099237,0.236641221,-1.567013197
12:05:07.234,305,342,1.038818359,-0.017822266,-0.042724609,-22.47328244,-14.10687023,1.496183206,-1.69442068
12:05:07.310,306,341,1.039794922,-0.022705078,-0.022460938,-22.71755725,-14.80152672,1.603053435,-1.826539724
12:05:07.386,308,341,1.03515625,-0.011230469,-0.039794922,-22.83969466,-15.5648855,0.396946565,-1.962646251
12:05:07.463,312,341,1.036132813,-0.015869141,-0.046875,-22.83969466,-16.07633588,2.427480916,-2.100786206
12:05:07.539,314,341,1.041259766,-0.021240234,-0.035644531,-22.47328244,-16.47328244,0.93129771,-2.240405959
12:05:07.615,317,343,1.039306641,-0.027587891,-0.031494141,-22.71755725,-12.18320611,0.854961832,-2.336211895
